Time,Humidity
740.471.363,3.121.973
1.741.109.371,3.437.598
2.741.746.902,3.300.488
3.739.882.946,3.274.219
4.740.521.431,3.273.145
5.741.160.393,326.748
6.741.799.354,3.188.672
7.739.937.305,3.220.801
8.740.576.744,3.364.941
9.741.216.659,322.207
10.741.857.052,3.294.238
11.739.995.956,3.434.961
12.740.636.349,3.277.246
13.741.277.218,3.180.078
14.741.919.041,3.307.129
15.740.059.376,3.356.348
16.740.700.722,3.374.707
17.741.343.021,3.285.645
18.741.985.321,3.454.883
19.740.126.610,3.206.836
20.740.770.340,3.315.527
21.741.413.116,3.315.625
22.739.555.359,3.316.797
23.740.199.089,3.210.547
24.740.843.296,3.369.531
25.741.488.457,330.332
26.739.631.653,3.294.238
27.740.276.337,3.359.473
28.740.921.974,3.308.105
29.741.567.612,334.248
30.739.712.238,3.321.973
31.740.358.353,3.316.309
32.741.005.421,3.362.109
33.741.652.489,3.287.793
34.739.798.069,3.339.355
35.740.445.614,3.321.191
36.741.093.635,3.171.387